,series_title,primary_work_count,series_work_count,series_description,link
165,Henry Bane,3,3,"Henry Bane, a gang fixer and loanshark, in mid-1990s Manchester, England:",https://www.goodreads.com/series/88991-henry-bane
166,Nancy Drew and Hardy Boys: Super Mystery,36,36,This series was a cross-over series featuring Nancy Drew and the Hardy Boys. The books in this series were published between 1988 and 1998. A new series similarly titled began in 2007.,https://www.goodreads.com/series/40648-nancy-drew-and-hardy-boys-super-mystery
167,Sano Ichiro,18,18,"Sano Ichiro, a samurai and private investigator for the shogun, in the 1600s in Edo, Japan: Official webpage: http://www.laurajohrowland.com/books.html",https://www.goodreads.com/series/40517-sano-ichiro
168,Fjallbacka,10,16,"This series by Camilla Lackberg features Patrik Hedstrom, a police detective, and Erica Falck, a writer, in the fishing town of Fjallbacka, Sweden. It was formerly known on Goodreads as the Patrik Hedstrom series.",https://www.goodreads.com/series/44263-fj-llbacka
169,Her Royal Spyness,11,13,"Narrator Lady Victoria Georgiana ""Georgie"" Charlotte Eugenie, cousin of King George V of England, is penniless and trying to survive on her own as an ordinary person in London in 1932.",https://www.goodreads.com/series/46491-her-royal-spyness
170,Charlie Hood,6,9,"Charlie Hood, a sheriff's deputy in Los Angeles County, California:",https://www.goodreads.com/series/72395-charlie-hood
171,Bryant and May,14,18,"Arthur Bryant and John May, detectives in the Peculiar Crimes Unit, in London, England:",https://www.goodreads.com/series/61019-bryant-may-peculiar-crimes-unit
172,Inspector Ian Rutledge,20,26,Inspector Ian Rutledge returned from serving in World War I burdened with a heavy secret: he is suffering from shell shock. The series is set in England in 1919.,https://www.goodreads.com/series/40422-inspector-ian-rutledge
173,Jane Lawless,24,24,"Jane Lawless, a lesbian restaurateur in Minneapolis, Minnesota:",https://www.goodreads.com/series/65509-jane-lawless
174,Myron Bolitar,11,22,"Myron Bolitar is a hotheaded, tenderhearted sports agent. Related series: ",https://www.goodreads.com/series/54101-myron-bolitar
175,Willa Jansson,7,7,"Willa Jansson, a law student, then lawyer, and a child of idealistic, left-wing parents, in San Francisco, California:",https://www.goodreads.com/series/42103-willa-jansson
176,Bailey Weggins Mystery,7,7,Bailey Weggins is a true-crime writer for a leading Manhattan woman's magazine.,https://www.goodreads.com/series/51298-bailey-weggins-mystery
177,Death On Demand,26,28,"The name of a very creative bookstore, complete with mystery-entitled mugs, on an island in the American south.",https://www.goodreads.com/series/40376-death-on-demand
178,Inspector Lynley,20,20,"Chronological Order:When reading the Inspector Lynley series in chronological order, A Suitable Vengeance should be read prior to A Great Deliverance. (source: http://www.bookseriesinorder.com/inspector-lynley/) Detective Inspector Thomas ""Tommy"" Lynley, 8th Earl of Asherton and Detective Sergeant Barbara Havers are with New Scotland Yard. Some of the Inspector Lynley mysteries have been adapted for television.",https://www.goodreads.com/series/50324-inspector-lynley
179,Cleopatra Jones,3,3,"Cleopatra Jones, an accountant, golfer, and divorced mother of two, in Hogan's Glen, Maryland:",https://www.goodreads.com/series/86802-cleopatra-jones
180,Thea Osborne,15,16,"Thea Osborne, a house-sitter in the Cotswolds, in England:",https://www.goodreads.com/series/60650-thea-osborne
181,Charlie Muffin,16,16,"Charlie Muffin is an ex-British Intelligence agent, now free-lance agent.",https://www.goodreads.com/series/78892-charlie-muffin
182,Isaac Bell,10,10,"Isaac Bell, a no-nonsense private investigator with the Van Dorn Detective Agency, in early 20th century America. Chronologically, The Striker (Book 6) takes place before the other books in the series.",https://www.goodreads.com/series/46680-isaac-bell
183,Mantra for Murder Mystery,4,4,"A.J. (Anna Jolie) Alexander, a 30-something marketing consultant in Manhattan, New York, in the Mantra for Murder mysteries:",https://www.goodreads.com/series/44612-mantra-for-murder-mystery
184,Can you solve the mystery?,14,14,"""Hawkeye"" Christopher Collins and Amy Adams, pals and neighbors in Lakewood Hills near Minnesota Minneapolis, solve cases, sometimes with Sergeant Treadwell. Answers at back in mirror-type except for serial cliff-hanger final case.",https://www.goodreads.com/series/65904-can-you-solve-the-mystery
185,In Death,46,115,"The ...in Death series, written by Nora Roberts under her pseudonym J.D. Robb, features NYPSD (""New York City Police and Security Department"") Lieutenant Eve Dallas and her husband Roarke and is set in a mid-21st century New York City. The stories also regularly feature other characters, including Captain Ryan Feeney, Detective Delia Peabody, Detective Ian McNab and Dr. Charlotte Mira. The series is ongoing and will go on as long as Roberts desires to write it; however, she has famously stated that the series will never contain one of Eve and Roarke's children, as the series will end with Eve's eventual pregnancy--which is nowhere in sight at the current count. Please note: Each book in this series is a whole story with a beginning and an ending, however there may be minor references to events that occurred earlier in the series. Therefore, with respect to the mystery alone, the books can be read out of order, if desired. However, like any long series that focuses on a core group of characters, there are various relationship changes that develop more naturally when the full length novels are read in the order in which they were published. http://www.indeath.net/wikiindeath/index.php/Main_Page - includes spoilers Eternity in Death (#24.5) was published between Innocent in Death (#24) & Creation in Death (#25). Though Creation in Death & Strangers in Death (#26) are set in March 2060 and Eternity in Death in April 2060.",https://www.goodreads.com/series/41029-in-death
186,Jason Stafford,4,4,"Jason Stafford, a former Wall Street trader trying to put his life together after two years in prison, and his young autistic son, in Manhattan, New York:",https://www.goodreads.com/series/87981-jason-stafford
187,Mickey Bolitar,3,4,"Mickey Bolitar, a high school student living with his uncle Myron after his father is killed, in this series for Young Adults. Related series: ",https://www.goodreads.com/series/55075-mickey-bolitar
188,Dewey Andreas,7,8,"Dewey Andreas, a former Delta officer, encounters international terrorist plots:",https://www.goodreads.com/series/65457-dewey-andreas
189,Squeaky Clean Mysteries,13,18,"Note: The ""Riley Thomas"" series (#7.5) is a companion/parallel series. Book 1 occurs between Mucky Streak and Foul Play.",https://www.goodreads.com/series/71464-squeaky-clean-mysteries
190,Jack Ryan Universe,24,24,"This is the chronological order of the Tom Clancy series of books that contain the primary characters of Jack Ryan, John Clark, Jack Ryan Jr. ",https://www.goodreads.com/series/171703-jack-ryan-universe
191,Leaphorn & Chee,22,29,"Lieutenant Joe Leaphorn and Jim Chee, Navajo tribal police officers in the southwest USA. Series has been taken over by author's daughter, , after his death.",https://www.goodreads.com/series/40758-leaphorn-chee
192,Joanna Brady,17,23,"Joanna Brady is Sheriff of Cochise County, Arizona and lives in the county seat of Bisbee.",https://www.goodreads.com/series/40431-joanna-brady
193,A Victorian San Francisco Mystery,5,12,"Annie is not only the owner of a boardinghouse, she doubles as Madam Sibyl, a clairvoyant Boarding house Owner, Clairvoyant, Late 1800s, San Francisco",https://www.goodreads.com/series/59705-a-victorian-san-francisco-mystery
194,Torie O'Shea,11,11,"Victory (Torie) O'Shea, a genealogist in New Kassel, Missouri:",https://www.goodreads.com/series/41966-torie-o-shea
195,Commissario Brunetti,26,26,Guido Brunetti is Commissario of Police in Venice (Italy).,https://www.goodreads.com/series/50419-commissario-brunetti
196,St. Just Mystery,3,3,"Detective Chief Inspector Arthur St. Just of the Cambridgeshire Constabulary and Sergeant Fear, in England:",https://www.goodreads.com/series/58963-st-just-mystery
197,Meg Langslow,22,25,"Meg Langslow is a successful decorative blacksmith and an exceptional amateur sleuth. Set in Yorktown, Virginia, Donna Andrews' mystery series has won Agatha, Anthony and Lefty Awards. http://us.macmillan.com/series/MegLangslowMysteries",https://www.goodreads.com/series/41805-meg-langslow
198,Detective Greene,4,4,"Detective Ari Greene and Officer Daniel Kennicott in Toronto, Ontario, Canada:",https://www.goodreads.com/series/115896-di-hillary-greene
199,Lady Darby Mystery,6,7,"Lady Darby, a widow taking refuge at her sister's estate, in 1830s Scotland:",https://www.goodreads.com/series/88724-lady-darby-mysteries
200,Cait Morgan,8,8,"Cait Morgan, a Welsh-Canadian professor and criminologist, based in British Columbia, Canada, and traveling here and there:",https://www.goodreads.com/series/115334-cait-morgan
201,Dublin Murder Squad,6,6,"Police detectives on the murder squad in Dublin, Ireland",https://www.goodreads.com/series/51639-dublin-murder-squad
202,A Wishcraft Mystery,7,7,"Darcy Merriweather, from a long line of witches who can cast spells by making a wish, in the Enchanted Village section of Salem, Massachusetts, in the Wishcraft mysteries:",https://www.goodreads.com/series/62017-a-wishcraft-mystery
203,Hanne Wilhelmsen,10,15,"Hanne Wilhelmsen, a lesbian police officer in Oslo, Norway:",https://www.goodreads.com/series/54400-hanne-wilhelmsen
204,Legoland Trilogy,3,3,"Daniel Marchant, a suspended MI-6 agent trying to clear his father's reputation as former head of MI-6, in the globetrotting Legoland (MI-6 headquarters) trilogy:",https://www.goodreads.com/series/90501-legoland-trilogy
205,Jesse Stone,16,18,"Jesse Stone, a police chief in Paradise, Massachusetts Jesse Stone seriesRobert B. Parker - original series found here Michael Brandman's versionReed Farrel Coleman version",https://www.goodreads.com/series/40545-jesse-stone
206,PAVAD: FBI - Prevention & Analysis of Violent Acts Division,14,15,"PAVAD--the Prevention & Analysis of Violent Acts Division is a special directorate of the FBI, located in St. Louis due to its central location, and ran by Deputy Director Edward Dennis. PAVAD was formed by Edward Dennis to combat today's modern crimes in a modern nation. PAVAD consists of only the best of the FBI's best, and addresses cases involving everything from kidnapping, money-laundering, extortion, all the way up to RICO violations. The PAVAD unit consists of more than a dozen teams ready to mobilize at a moment's notice to every corner of the United States... Related Series: ",https://www.goodreads.com/series/104383-pavad-fbi---prevention-analysis-of-violent-acts-division
207,Molly Murphy,17,20,"Rhys Bowen won Agatha and Anthony Awards for this cozy historical mystery series. Molly Murphy always knew she'd end up in trouble, just as her mother predicted. She has to flee her cherished Ireland for the anonymous shores of America. But starting a new life doesn't keep Molly out of trouble--and soon she's doing detective work in early 20th-century New York. http://us.macmillan.com/series/MollyMurphyMysteries",https://www.goodreads.com/series/44729-molly-murphy
208,Avery & Blake,3,3,"Known as ""The Blake and Avery Mystery Series"" in the UK. The second book, originally titled The Infidel Stain, was retitled The Printer's Coffinin the UK. So far, all three books have two English audiobook versions, one narrated by Sam Dastor, the other Alex Wyndham, both actors of British nationality.",https://www.goodreads.com/series/136302-avery-blake
209,A Collectible Mystery,6,6,"Molly Appleby, a writer for Collector's Weekly magazine, in North Carolina and Virginia, in the Collectible mysteries:",https://www.goodreads.com/series/43068-antiques-collectibles-mysteries
210,Jonathan Quinn,11,18,"Jonathan Quinn, an ex-cop freelancing for the Office, a secret US intelligence agency:",https://www.goodreads.com/series/43588-jonathan-quinn
211,Commissario Montalbano,25,38,"In 1994 Camilleri published the first in a long series of novels: ""La forma dell'acqua"" (The Shape of Water) featured the character of Inspector Montalbano, a fractious Sicilian detective in the police force of Vigata, an imaginary Sicilian town. The series is written in Italian but with a substantial sprinkling of Sicilian phrases and grammar.",https://www.goodreads.com/series/51078-inspector-montalbano
212,Danger Cove,19,20,"Danger Cove is a sleepy little town in the Pacific Northwest and home to renowned mystery novelist, Elizabeth Ashby. While Elizabeth swears the stories she writes are fiction, you can find the inspiration for her murderous tales all over Danger Cove...from the intriguing cast of local characters to the places to eat, play, and explore in Danger Cove. Don't let our name fool you--we're the friendliest (even if deadliest) town in the Pacific Northwest! Visit us at dangercovemysteries.com",https://www.goodreads.com/series/156697-danger-cove
213,Dark Iceland,5,5,"The ordering for the English publication differs from the original. Book #1 in English, is book #2 in the original order. Likewise, book #2 in the English publication is book #6 in the original. This is for the English publication order.The series is set in and around Siglufjordur: an idyllically quiet fishing village in Northern Iceland, where no one locks their doors - accessible only via a small mountain tunnel. Ari Thor Arason: a rookie policeman on his first posting, far from his girlfriend in Reykjavik - with a past that he's unable to leave behind. Folsk nota: Not set in this series, but is the first novel featuring Ari Thor Arason, as a young theology student looking for his missing father.",https://www.goodreads.com/series/170745-dark-iceland
214,Dr Dody McCleland,5,5,"The Dody McCleland series feature Britain's first (fictitious) female autopsy surgeon, Doctor Dody McCleland, and Scotland Yard detective, Chief Inspector Matthew Pike. The books are set in Edwardian London during a tumultuous time of technological and social change. Dody McCleland's background is that of Felicity's paternal grandmother, at the time one of only a handful of female graduates of Trinity College, Dublin.",https://www.goodreads.com/series/105708-dr-dody-mccleland
215,Inspector Troy,8,8,"Frederick Troy, a police sergeant and later Chief Inspector, from the late 1940s to the 1960s, in London, England:",https://www.goodreads.com/series/43541-inspector-troy
216,Marcus Didius Falco,20,24,"Marcus Didius Falco is a private investigator working in first century Rome. He's described as 'Roman Emperor Vespasian's smart-aleck PI'. Falco moves around Rome's empire, working for hire even in Roman Britain. Series also known as: * Marco Didio Falco [Italian]See also: about Falco's daughter",https://www.goodreads.com/series/42173-marcus-didius-falco
217,Raylan Givens,5,5,"Raylan Givens, a federal marshal in Florida and later Kentucky",https://www.goodreads.com/series/67628-raylan-givens
218,Bob Moore,3,3,"Super powered humans started appearing 30 years ago. Now, they are everywhere. Bob Moore, Private Eye, dares to investigate those who could incinerate him with a thought.",https://www.goodreads.com/series/103685-bob-moore
219,Elvis Cole,17,27,"http://www.robertcrais.com/novels_order.htm Elvis Cole and Joe Pike, a pair of Hollywood private eyes, in Los Angeles, California.",https://www.goodreads.com/series/41911-elvis-cole-and-joe-pike
220,T.O.A.S.T. Mystery,2,2,"The middle-grade series is about a boy with ""amazing observation skills"" and his genius female best friend; it was pitched as ""part Watson and Holmes, and part Watson and Crick.""",https://www.goodreads.com/series/128514-framed
221,Tyler Locke,4,4,"Tyler Locke, a former army combat engineer, in wide-ranging quests:",https://www.goodreads.com/series/65548-tyler-locke
222,Dr Kate Hanson,4,4,Mystery series features forensic psychologist Dr Kate Hanson and Birmingham's Unsolved Crimes Unit.,https://www.goodreads.com/series/132949-kate-hanson
223,Sister Fidelma,30,32,"The Sister Fidelma mysteries are set mainly in Ireland during the mid-seventh century AD. Sister Fidelma is not simply a religieuse, a former member of the community of St Brigid of Kildare. She is also a qualified dalaigh, or advocate of the ancient law courts of Ireland.",https://www.goodreads.com/series/41999-sister-fidelma
224,Fools' Guild,8,8,The Fools' Guild historical mysteries are set in the early 13th century.,https://www.goodreads.com/series/41869-fools-guild
225,Jessica Coran,13,14,"Jessica Coran, a doctor and FBI medical examiner, in Washington, DC:",https://www.goodreads.com/series/68783-jessica-coran
226,Mrs Pollifax,14,19,"Mrs Emily Pollifax is a practical yet imaginative white-haired NJ widow with unusual hats and a brown belt in karate who volunteers for the CIA, answering to agents Carstairs and Bishop, around the world. Simple always becomes dangerous and hilarious.",https://www.goodreads.com/series/51239-mrs-pollifax
227,Under Suspicion,5,5,A suspense series about a television program featuring cold case murders.,https://www.goodreads.com/series/137840-under-suspicion
228,Debutante Dropout,6,6,"Andrea ""Andy"" Kendricks, a 30-something webmaster who escaped her formal debut for art school in Chicago, returns to Dallas, Texas, in the Debutante Dropout mysteries:",https://www.goodreads.com/series/40941-debutante-dropout
229,Hannibal Lecter,4,6,"A series of four novels about the exploits of psychologist and serial killer Hannibal ""the Cannibal"" Lecter. The fourth book is a prequel that takes place many years before the original trilogy.",https://www.goodreads.com/series/53252-hannibal-lecter
230,Inspector Konrad Sejer,13,13,"Konrad Sejer is a police inspector in Oslo, Norway. Also featuring Inspector Jakob Skarre.",https://www.goodreads.com/series/51610-konrad-sejer
231,Psychic Eye Mystery,16,17,"Abby Cooper is a professional psychic intuitive who has everyone else figured out far better than she has her own life managed. She knows all too well that being psychic doesn't let her sidestep murder and mayhem - it just lets her know that it's coming. Luckily, she has plenty of help from her best friend and business partner, Candice Fusco - one badass P.I., along with the love of Abby's life - the gorgeous Dutch Rivers. Together, Candice and Dutch help keep Abby focused on finding the bad guys while often dodging the odd stray bullet or two.",https://www.goodreads.com/series/41274-psychic-eye-mystery
232,Samantha Kincaid,3,3,"Samantha Kincaid, Deputy District Attorney in Portland Oregon:",https://www.goodreads.com/series/58065-samantha-kincaid
233,Easy Rawlins,14,14,The Easy Rawlins mysteries start in post-World War II Los Angeles and quickly progress to modern times. Rawlins has a variety of positions during this period.,https://www.goodreads.com/series/53392-easy-rawlins
234,Lillian Byrd Crime Story,5,5,"Lillian Byrd, a sometime reporter, street musician, and amateur sleuth based around Detroit, Michigan:",https://www.goodreads.com/series/81706-lillian-byrd-crime-story
235,Anna Pigeon,19,22,"Note: #17, The Rope is chronologically a prequel National Park Ranger Anna Pigeon goes beyond the call of duty in this Agatha and Anthony Award-winning mystery series. She travels to National Parks around the country, solving mysteries in the wilderness and historic locales. Author Nevada Barr draws on her own experience as a former park ranger to craft these award-winning novels. http://us.macmillan.com/series/AnnaPigeonMysteries http://www.nevadabarr.com/booklist.htm",https://www.goodreads.com/series/40958-anna-pigeon
236,John Ceepak Mystery,8,9,Chris Grabenstein's award winning Jersey Shore mysteries.,https://www.goodreads.com/series/60535-john-ceepak-mystery
237,St. Kilda Consulting,5,5,"Various people associated with St. Kilda Consulting, a Manhattan-based, global business that concentrates on the shadow world where governments can't go:",https://www.goodreads.com/series/47195-st-kilda-consulting
238,Good Thief's Guide,5,5,"The Good Thief's Guide mysteries feature Charlie Howard who doesn't just write books about a career thief, he is one.",https://www.goodreads.com/series/45355-good-thief-s-guide
239,Owen Archer,10,11,"The Owen Archer mysteries (including the short story ""The Bone Jar"" ) are set in England in the late 14th century. Owen Archer is a spy for John Thoresby, Archbishop of York and sometime Lord Chancellor of England. Owen is ably assisted in his sleuthing by an ensemble of York residents who include his wife, the Apothecary Lucie Wilton; Bess Merchet, proprietor of the York Tavern; Magda Digby, midwife; and Brother Michaelo, the Archbishop's secretary.",https://www.goodreads.com/series/41413-owen-archer
240,Bernard Samson,9,12,"The trilogy of trilogies detailing the life and career of spy Bernard Samson. Also included is the novel Winter, which, although not a primary part of the series, was a prequel to the entire series.",https://www.goodreads.com/series/65594-bernard-samson
241,Brigid Quinn,3,3,Brigid Quinn is an ex-FBI agent pushed into early retirement living in Tucson.,https://www.goodreads.com/series/126735-brigid-quinn
242,Quinn Colson,7,7,"Quinn Colson, an army ranger returning home from Afghanistan, in rural northeast Mississippi:",https://www.goodreads.com/series/74631-quinn-colson
243,Haunted Home Renovation Mystery,7,8,"Melanie Turner, a failed anthropologist now running her father's construction company, in the Haunted Home Renovation mysteries:",https://www.goodreads.com/series/51346-haunted-home-renovation-mystery
244,Dr. Anya Crichton,7,7,"Dr. Anya Crichton, a forensic pathologist in Sydney, Australia:",https://www.goodreads.com/series/59356-dr-anya-crichton
245,Rosato and Associates,11,11,"Rosato & Associates, an all-women law firm in Philadelphia, Pennsylvania Final Appealand Running From the Laware not part of this series",https://www.goodreads.com/series/40673-rosato-and-associates
246,Frank Clevenger,7,7,"Ablow is the author of six psychological thrillers featuring Frank Clevenger, a forensic psychiatrist dedicated to a search for truth, no matter where it leads. More than one of the titles was a USA Today bestseller",https://www.goodreads.com/series/79428-frank-clevenger
247,Jonathan Stride,9,12,"Psychological suspense novels featuring Homicide Lieutenant Jonathan Stride and his partner Maggie Bei. It also features homicide detective and Stride's lover Serena Dial. The coast of Lake Superior in Duluth, Minnesota is where Stride calls home.",https://www.goodreads.com/series/42794-jonathan-stride
248,Erin Blake,2,2,Adventures of teen amateur sleuth and aspiring forensic scientist Erin Blake -,https://www.goodreads.com/series/210136-erin-blake
249,The Boxcar Children,145,167,See also The Boxcar Children SpecialsThe Boxcar Children Graphic Novels serieshttp://www.boxcarchildren.com,https://www.goodreads.com/series/40513-the-boxcar-children
250,John Gardner's Bond,16,18,"These are the further adventures of Ian Fleming's James Bond character, as written by John E. Gardner.",https://www.goodreads.com/series/49622-john-gardner-s-bond
251,The 39 Clues: Cahills vs. Vespers,6,6,"The Clue Hunt is Over, but now there's a New Danger to the Cahill Clan, an enemy that was established before the siblings ever split, the Vespers. When they kidnap members of the Cahill family, the clue contestants must band together to find them and get them back. A Spin Off to the Original 39 Clues Series Original Series ",https://www.goodreads.com/series/66620-the-39-clues-cahills-vs-vespers
252,Ruth Galloway,10,13,Ruth Galloway is a forensic archaeologist living with her two cats in a Saltmarsh cottage.,https://www.goodreads.com/series/46415-ruth-galloway
253,Farmers' Market,6,7,"Becca Robins, who makes jam on her farm and sells at her twin sister Alison's farmers market, in rural South Carolina, in the Farmer's Market mysteries:",https://www.goodreads.com/series/62564-farmers-market
254,Library Lover's Mystery,8,8,"Lindsey Norris, director of the Briar Creek Public Library, in Connecticut, in the Library Lover's mysteries:",https://www.goodreads.com/series/54780-library-lover-s-mystery
255,Peter Diamond,16,19,"Mysteries solved by Peter Diamond, a modern-day police detective in Bath.",https://www.goodreads.com/series/50497-peter-diamond
256,Mrs. Jeffries,36,43,Scotland Yard Inspector Witherspoon helped by household staff led by housekeeper Mrs Jeffries in Victorian England mysteries,https://www.goodreads.com/series/43335-mrs-jeffries
257,A Dead-End Job Mystery,16,17,"The Dead-End Job mysteries feature Helen Hawthorne, on the run from her ex-husband, living and working in south Florida.",https://www.goodreads.com/series/43109-a-dead-end-job-mystery
258,Cliff Janeway,5,5,"Cliff Janeway, a cop and rare book expert, in Denver, Colorado:",https://www.goodreads.com/series/54592-cliff-janeway
259,Maigret,75,85,"Inspector Maigret, a police inspector in Paris, France, and Madame Maigret, his wife.Jules Amedee Francois Maigret, simply Jules Maigret or Maigret to most people, including his wife, is a fictional French police detective, actually a commissaire or commissioner of the Paris ""Brigade Criminelle"" (Direction Regionale de Police Judiciaire de Paris), created by writer Georges Simenon. 75 novels and 28 short stories about Maigret were published between 1931 and 1972, starting with Pietr-le-Letton(Pietr the Lett) and concluding with Maigret et Monsieur Charles. The Maigret stories were also adapted for television and radio.",https://www.goodreads.com/series/67800-inspector-maigret
260,Leopold Blake Thriller,5,10,"A series of thrillers. Q - What order should I read the books in? A - I've written the series so you can read the books in any order, and all the story threads will tie up nicely by the time you're finished. If you do want to read them in order, I'd suggest the following sequence: - Paydown (prequel) - Wanted - Panic - Departed - Ratio - Fallen (Note: This reading order doesn't follow the publication order of the series)",https://www.goodreads.com/series/108114-leopold-blake-thriller
261,Kiss of Leather,7,7,"Kiss of Leather is the pet project of close friends and Doms, Gavin, Derek and Josh. As business partners, they envision the gay BDSM club to be the premiere destination for both demonstrations and play in not only Los Angeles, but the entire country. Designed to attract the most elite of players, Kiss of Leather is built from the ground up to their exact specifications. Take a peek behind the gates which guard Kiss of Leather. It's the club that promises a completely decadent experience to stimulate your senses-and that leads unsuspecting Masters and subs to their Happily Ever Afters.",https://www.goodreads.com/series/157261-kiss-of-leather
262,Spenser,45,62,"Spenser, an ex-boxer, ex-state cop turned private eye, in Boston, Massachusetts:",https://www.goodreads.com/series/40546-spenser
263,Iris Thorne Mysteries,5,5,"Iris Thorne, an investment counselor in Los Angeles, California:",https://www.goodreads.com/series/88258-iris-thorne-mysteries
264,Dandy Gilver,12,12,"Dandy Gilver, a well-to-do woman in 1920s Scotland:",https://www.goodreads.com/series/43573-dandy-gilver
265,Dub Walker,3,3,"Dub Walker, a former crime scene investigator and consultant to the FBI's Behavioral Assessment Unit, in Huntsville, Alabama:",https://www.goodreads.com/series/66716-dub-walker
266,Alexandra Cooper,19,22,Alexandra Cooper is a Manhattan Assistant District Attorney for the Sex Crimes Unit.,https://www.goodreads.com/series/43692-alexandra-cooper
267,Tommy and Tuppence,5,23,"Tommy and Tuppence Beresford are two of Agatha Christie's delightful detectives. Although Christie only wrote 5 books in the series, the characters aged realistically - from giddy young detectives in the Jazz Age, to grandparents losing their memory of the past in the 1970s.",https://www.goodreads.com/series/233123-tommy-tuppence-mysteries
268,The Wollstonecraft Detective Agency,4,4,"History, mystery, and science collide in this series for middle-grade readers.",https://www.goodreads.com/series/144176-the-wollstonecraft-detective-agency
269,"Bruno, Chief of Police",10,14,"Bruno is the Chief of Police (in fact, the only police officer) in the small town of St. Denis, France.",https://www.goodreads.com/series/52300-bruno-chief-of-police
270,Billy Boyle World War II Mysteries,12,12,"Billy Boyle, an Irish-American cop from Boston, helps his ""uncle"" Ike Eisenhower in sensitive WWII military investigations in overseas Europe.",https://www.goodreads.com/series/42111-billy-boyle-world-war-ii
271,A Haunted Yarn Shop Mystery,5,5,"Kath Rutledge, a textile preservationist, inheriting her grandmother's wool shop, along with a depressed ghost, in fictional Blue Plum, Tennessee, in the Haunted Yarn Shop series:",https://www.goodreads.com/series/95531-haunted-yarn-shop-mystery
272,Coast of Maine,4,4,This series was formerly named A Tale of Three Mysteries,https://www.goodreads.com/series/126539-coast-of-maine
273,Donut Shop Mystery,34,39,"Suzanne Hart is an amateur sleuth and proprietor of a small-town donut shop, with an ex-husband, wacky friend, and hunky cop, in April Springs, North Carolina, in the Donut Shop mysteries. http://jessicabeckmysteries.net",https://www.goodreads.com/series/51200-donut-shop-mysteries
274,Joseph O'Loughlin,8,8,"Joseph O'Loughlin is a kindhearted psychologist with a flawed family life and a sense of dry humor as he struggles with ""Mr. Parkinson"". O'Loughlin works beside Vincent Ruiz, a hard-drinking tough talking homicide detective. Lost (#2)and The Wreckage (#5)feature Ruiz and O'Loughlin plays a minor role in each. The series is set in London, England.",https://www.goodreads.com/series/55351-joseph-o-loughlin
275,Chief Inspector Woodend,20,20,DCI Charlie Woodend is Scotland Yard's resident expert on the northern regions of England.,https://www.goodreads.com/series/52733-chief-inspector-woodend
276,Brock & Kolla,12,12,Detective Chief Inspector David Brock and Detective Sergeant Kathy Kolla work for Scotland Yard.,https://www.goodreads.com/series/51291-brock-kolla
277,Rich and Jade,4,4,"Jack Higgins, the master of the modern thriller, teams up with the bestselling author of ""Doctor Who"", Justin Richards, to bring a fast-paced action adventure for boys and girls.",https://www.goodreads.com/series/94343-rich-and-jade
278,Benni Harper,15,15,"Benni Harper is a folk art museum curator and amateur sleuth in (fictional, though based on San Luis Obispo) San Celina, California. The series titles are taken from quilt patterns.",https://www.goodreads.com/series/51428-benni-harper
279,Penny Brannigan,8,8,"Penny Brannigan, a manicurist and expatriate Canadian living in Llanelen, Wales.",https://www.goodreads.com/series/60302-penny-brannigan
280,The Last Jihad,5,6,"Jon Bennett and Erin McCoy, senior White House advisors:",https://www.goodreads.com/series/50194-the-last-jihad
281,Chloe Boston Mysteries,22,28,A cozy mystery series following a meter maid/detective as she tries to keep her life together and solve crimes in a small Northwestern town.,https://www.goodreads.com/series/49368-chloe-boston-mysteries
282,Chico Santana,2,2,"Chico Santana, a wisecracking private investigator on the outs with his wife, in the Bronx, New York:",https://www.goodreads.com/series/96280-chico-santana
283,Kit Marlowe,8,8,"Kit (Christopher) Marlowe, the Elizabethan playwright in his youth, beginning in 1583 Cambridge, England:",https://www.goodreads.com/series/84062-kit-marlowe
284,Alex Duggins Mystery,4,4,Traditional British mystery series set in the Cotswolds features rural inn owner and amateur sleuth Alex Duggins,https://www.goodreads.com/series/146263-alex-duggins-mystery
285,Miss Marple,13,43,"Mystery series in order of publication. Miss Marple is introduced in The Murder at the Vicaragebut the books can be read in any order. Mixed short story collections are included if some are Marple, often have horror, supernatural, maybe detective Poirot, Pyne, or Quin. Note that ""Nemesis"" should be read AFTER ""A Caribbean Holiday""",https://www.goodreads.com/series/51798-miss-marple
286,The Shadow - Nostalgia Ventures,93,93,"Reprints of the original stories in collected paperbacks printing two (or occasionally three) stories at a time, featuring bonus material and commentaries by Will Murray and Anthony Tollin.",https://www.goodreads.com/series/82483-the-shadow
287,Brady Coyne,28,28,"Brady Coyne, a sports fisherman and lawyer, in Boston, Massachusetts:",https://www.goodreads.com/series/55630-brady-coyne
288,Maggie Hope Mystery,7,9,"Maggie Hope: An American-born math whiz living in London works as a codebreaker and spy during WWII, aiding Britain in the war against the Nazis.",https://www.goodreads.com/series/80741-maggie-hope
289,Rei Shimura,11,12,"Rei Shimura, a Japanese-American who would like to become an antiques dealer, in Tokyo, Japan:",https://www.goodreads.com/series/65525-rei-shimura
290,Rick Brant Science-Adventure,24,25,"The RICK BRANT series, by John Blaine, consisted of 24 titles published by Grosset & Dunlap from 1947 through 1967. The last title, THE MAGIC TALISMAN, was finally printed in 1989. Volumes #1-16, originally published in dust jackets, were later reprinted in pictorial cover format. Volumes #17-24 were only printed in pictorial cover. The first three titles were written by Peter Harkins and [author:Hal Goodwin|952280]. Volumes #4-24 were solo efforts by Goodwin.",https://www.goodreads.com/series/45710-rick-brant-science-adventures
